STRATEGY,SAZONALITY,TICKER,ARIMA_RMSE,XGBOOST_RMSE,PREDICTED_M1_RMSE,PREDICTED_M2_RMSE,BEST_CHOOSE_RMSE
S1,Semestral,AFHI11,0.122753,0.084028,0.084028,0.084028,0.084028
S1,Semestral,AIEC11,0.101072,0.033882,0.033882,0.033882,0.033882
S1,Semestral,ALZR11,0.103264,0.129692,0.129692,0.129692,0.103264
S1,Semestral,ARCT11,0.232027,0.134306,0.134306,0.134306,0.134306
S1,Semestral,ARRI11,0.150047,0.169442,0.150047,0.169442,0.150047
S1,Semestral,BARI11,0.044939,0.029515,0.029515,0.029515,0.029515
S1,Semestral,BBFI11B,0.136044,0.101386,0.101386,0.101386,0.101386
S1,Semestral,BBFO11,0.111674,0.091877,0.091877,0.091877,0.091877
S1,Semestral,BBPO11,0.194212,0.113342,0.113342,0.113342,0.113342
S1,Semestral,BBRC11,0.139271,0.064773,0.064773,0.064773,0.064773
S1,Semestral,BCFF11,0.131332,0.120289,0.120289,0.120289,0.120289
S1,Semestral,BCIA11,0.117095,0.126757,0.126757,0.126757,0.117095
S1,Semestral,BCRI11,0.052982,0.024536,0.024536,0.024536,0.024536
S1,Semestral,BICR11,0.089867,0.073705,0.073705,0.073705,0.073705
S1,Semestral,BLMR11,0.152658,0.073454,0.073454,0.073454,0.073454
S1,Semestral,BMLC11,0.163886,0.08437,0.08437,0.08437,0.08437
S1,Semestral,BNFS11,0.039669,0.01719,0.01719,0.01719,0.01719
S1,Semestral,BPFF11,0.100955,0.074317,0.074317,0.074317,0.074317
S1,Semestral,BRCO11,0.110059,0.032697,0.032697,0.032697,0.032697
S1,Semestral,BREV11,0.16004,0.130209,0.130209,0.130209,0.130209
S1,Semestral,BTAL11,0.100491,0.03478,0.03478,0.03478,0.03478
S1,Semestral,BTLG11,0.053501,0.02684,0.053501,0.053501,0.02684
S1,Semestral,CBOP11,0.08317,0.065224,0.065224,0.08317,0.065224
S1,Semestral,CEOC11,0.107908,0.023652,0.023652,0.023652,0.023652
S1,Semestral,CNES11,0.14662,0.138838,0.138838,0.138838,0.138838
S1,Semestral,CPFF11,0.151587,0.055647,0.055647,0.055647,0.055647
S1,Semestral,CPTS11,0.033527,0.009838,0.009838,0.009838,0.009838
S1,Semestral,CRFF11,0.075879,0.050204,0.050204,0.050204,0.050204
S1,Semestral,CVBI11,0.061441,0.020608,0.020608,0.020608,0.020608
S1,Semestral,CXCO11,0.12722,0.05017,0.05017,0.05017,0.05017
S1,Semestral,CXRI11,0.188003,0.109603,0.109603,0.109603,0.109603
S1,Semestral,DEVA11,0.08886,0.028907,0.028907,0.028907,0.028907
S1,Semestral,DRIT11B,0.274585,0.078769,0.078769,0.078769,0.078769
S1,Semestral,EDFO11B,0.082662,0.045729,0.045729,0.045729,0.045729
S1,Semestral,EDGA11,0.095697,0.021287,0.095697,0.021287,0.021287
S1,Semestral,EURO11,0.098476,0.064215,0.064215,0.064215,0.064215
S1,Semestral,FAED11,0.153767,0.066441,0.066441,0.066441,0.066441
S1,Semestral,FATN11,0.044651,0.024669,0.044651,0.024669,0.024669
S1,Semestral,FCFL11,0.093476,0.077007,0.077007,0.077007,0.077007
S1,Semestral,FEXC11,0.081035,0.084224,0.084224,0.084224,0.081035
S1,Semestral,FIGS11,0.074475,0.010114,0.010114,0.010114,0.010114
S1,Semestral,FIIP11B,0.082256,0.007057,0.007057,0.007057,0.007057
S1,Semestral,FLCR11,0.020627,0.026196,0.020627,0.020627,0.020627
S1,Semestral,FLMA11,0.178741,0.06909,0.06909,0.06909,0.06909
S1,Semestral,FPAB11,0.173505,0.050327,0.050327,0.050327,0.050327
S1,Semestral,GALG11,0.06952,0.028772,0.028772,0.028772,0.028772
S1,Semestral,GCFF11,0.170259,0.062982,0.062982,0.062982,0.062982
S1,Semestral,GGRC11,0.114881,0.062483,0.062483,0.062483,0.062483
S1,Semestral,GTWR11,0.200179,0.094593,0.094593,0.094593,0.094593
S1,Semestral,HAAA11,0.858454,0.944172,0.858454,0.858454,0.858454
S1,Semestral,HABT11,0.080788,0.068405,0.068405,0.080788,0.068405
S1,Semestral,HBRH11,0.239691,0.084891,0.084891,0.084891,0.084891
S1,Semestral,HCTR11,0.078389,0.054643,0.078389,0.054643,0.054643
S1,Semestral,HFOF11,0.127117,0.093149,0.093149,0.093149,0.093149
S1,Semestral,HGBS11,0.211194,0.110525,0.110525,0.110525,0.110525
S1,Semestral,HGCR11,0.027354,0.02601,0.02601,0.02601,0.02601
S1,Semestral,HGFF11,0.166544,0.145878,0.145878,0.145878,0.145878
S1,Semestral,HGLG11,0.06233,0.034316,0.034316,0.034316,0.034316
S1,Semestral,HGPO11,0.109976,0.090939,0.090939,0.090939,0.090939
S1,Semestral,HGRE11,0.254945,0.043484,0.043484,0.043484,0.043484
S1,Semestral,HGRU11,0.220308,0.088727,0.088727,0.088727,0.088727
S1,Semestral,HLOG11,0.185748,0.01522,0.01522,0.01522,0.01522
S1,Semestral,HOSI11,0.039762,0.034882,0.039762,0.039762,0.034882
S1,Semestral,HPDP11,0.058361,0.001107,0.001107,0.001107,0.001107
S1,Semestral,HREC11,0.043708,0.022261,0.022261,0.022261,0.022261
S1,Semestral,HSAF11,0.095148,0.043555,0.043555,0.043555,0.043555
S1,Semestral,HSLG11,0.194419,0.117531,0.117531,0.117531,0.117531
S1,Semestral,HSML11,0.180782,0.015774,0.015774,0.015774,0.015774
S1,Semestral,HUSC11,0.235192,0.099903,0.099903,0.099903,0.099903
S1,Semestral,IRDM11,0.153009,0.083799,0.083799,0.083799,0.083799
S1,Semestral,JFLL11,0.077118,0.107181,0.107181,0.107181,0.077118
S1,Semestral,JPPA11,0.074412,0.040098,0.040098,0.040098,0.040098
S1,Semestral,JSRE11,0.175148,0.109169,0.109169,0.109169,0.109169
S1,Semestral,KFOF11,0.187312,0.10536,0.10536,0.10536,0.10536
S1,Semestral,KNCR11,0.087122,0.05294,0.05294,0.05294,0.05294
S1,Semestral,KNHY11,0.023864,0.02487,0.023864,0.023864,0.023864
S1,Semestral,KNIP11,0.026227,0.026099,0.026099,0.026099,0.026099
S1,Semestral,KNRI11,0.090398,0.057936,0.057936,0.057936,0.057936
S1,Semestral,KNSC11,0.040545,0.043266,0.040545,0.040545,0.040545
S1,Semestral,LGCP11,0.122291,0.025702,0.025702,0.025702,0.025702
S1,Semestral,LUGG11,0.031804,0.060685,0.031804,0.060685,0.031804
S1,Semestral,MALL11,0.141748,0.025285,0.025285,0.025285,0.025285
