pred_col,train_cols,strategy,sector,MAE,RMSE,mean,std,min,25 pct.,50 pct.,75 pct.,max,n_estimators,learning_rate,max_depth,min_child_weight,colsample_bytree
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053075,0.074996,0.05307500000000001,0.05311809362345377,0.000389,0.01951,0.039689,0.064387,0.321982,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053919,0.075238,0.053918791044776114,0.0526056345188053,4e-05,0.021877,0.035965,0.069057,0.343498,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053375,0.076741,0.05337496517412935,0.05527690943878629,0.000335,0.018345,0.035651,0.06811,0.343498,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053462,0.07492,0.053461781094527365,0.052616991517682205,0.000304,0.020414,0.037409,0.067816,0.343498,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053031,0.074489,0.0530312487562189,0.052440896375517944,0.000121,0.018948,0.036309,0.065739,0.365548,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052338,0.07483,0.05233768159203981,0.05361588828153563,0.000389,0.017144,0.036403,0.067828,0.321982,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.051688,0.074571,0.05168776616915422,0.053885957571987615,0.000361,0.016082,0.034463,0.067768,0.321982,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.051942,0.074174,0.05194218407960199,0.05308310737241128,0.000656,0.017705,0.03438,0.068727,0.321982,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.054476,0.076472,0.05447595024875622,0.05380225668722003,0.0004,0.017266,0.040475,0.069065,0.34506,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053765,0.075603,0.05376497512437811,0.053284555403084466,0.000211,0.019812,0.037631,0.072484,0.321982,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052841,0.074233,0.05284061691542288,0.05226844942847944,0.000314,0.020614,0.03839,0.065484,0.321982,4000,0.1,6,1,0.4
