pred_col,train_cols,strategy,sector,MAE,RMSE,mean,std,min,25 pct.,50 pct.,75 pct.,max,n_estimators,learning_rate,max_depth,min_child_weight,colsample_bytree
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053583,0.072871,0.05358273459715641,0.04942606296161112,0.0,0.018003,0.039826,0.073117,0.277469,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.05264,0.07219,0.052640315955766195,0.04943963708778143,0.0,0.015973,0.038761,0.075017,0.264658,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052798,0.072332,0.05279832385466035,0.049478591448640405,0.0,0.01727,0.039253,0.07402,0.268751,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.05264,0.071418,0.05263982464454977,0.04830329145862222,0.0,0.016941,0.040271,0.073111,0.257169,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052603,0.071341,0.05260309952606635,0.04823033097068995,0.0,0.018534,0.039536,0.071854,0.255605,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorCloseChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053263,0.072849,0.053262898894154816,0.0497392713803552,0.0,0.017163,0.039916,0.075387,0.259012,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.05383,0.072931,0.053829895734597163,0.049245356843184,0.0,0.017499,0.041313,0.075471,0.280516,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053226,0.072357,0.05322641548183255,0.049053508551946616,0.0,0.01842,0.039253,0.074489,0.284729,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053806,0.072963,0.05380639652448657,0.04931853593964624,0.0,0.017476,0.04084,0.075315,0.279526,4000,0.1,6,1,0.4
CloseChange,"CloseChange, Close, DividendYield, DividendsChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.053737,0.072946,0.05373674407582939,0.04936973160299221,0.0,0.018384,0.039994,0.074748,0.285054,4000,0.1,6,1,0.4
